comm step runtime
btag 0 7934
btag 1 1729
btag 2 1826
btag 3 6997
btag 4 264323
btag 5 11370071
btag 0 7890
btag 1 1714
btag 2 1991
btag 3 7023
btag 4 269834
btag 5 11576726
btag 0 7910
btag 1 1651
btag 2 1969
btag 3 7073
btag 4 274019
btag 5 11585495
btag 0 7667
btag 1 1520
btag 2 1857
btag 3 7010
btag 4 271890
scratch 0 7536
scratch 1 1515
scratch 2 1805
scratch 3 6816
scratch 4 276471
scratch 5 12051383
scratch 0 7637
scratch 1 1472
scratch 2 1502
scratch 3 6867
scratch 4 267738
scratch 5 12065683
scratch 0 7944
scratch 1 1415
scratch 2 1676
scratch 3 6854
scratch 4 271564
scratch 5 11821024
