alg sys comm steps runtime status
cliques arabesque odag 2 19391 S
cliques arabesque odag 3 51709 S
cliques arabesque odag 4 91149 S
cliques arabesque odag 5 160464 S
cliques arabesque odag 6 317902 S
cliques arabesque odag 7 847018 S
cliques arabesque odag 8 3377143 S
cliques arabesque odag 9 0 FT
cliques fractal scratch 2 63896 S
cliques fractal scratch 3 63391 S
cliques fractal scratch 4 67795 S
cliques fractal scratch 5 81479 S
cliques fractal scratch 6 101227 S
cliques fractal scratch 7 135716 S
cliques fractal scratch 8 190400 S
cliques fractal scratch 9 265388 S
cliques fractal scratch 10 327766 S
