sys depth maxmem
arabesque 1 0.249277
arabesque 2 0.332148
arabesque 3 0.831484
arabesque 4 20.7642
arabesque 1 0.27707
arabesque 2 0.354121
arabesque 3 1.06558
arabesque 4 20.9265
arabesque 1 0.258506
arabesque 2 0.370117
arabesque 3 0.992939
arabesque 4 20.5637
arabesque 1 0.284238
arabesque 2 0.385049
arabesque 3 1.21479
arabesque 4 20.6361
arabesque 1 0.311963
arabesque 2 0.332451
arabesque 3 1.21519
arabesque 4 21.9831
fractal 1 0.3301554024219513
fractal 2 0.3301554024219513
fractal 3 0.3301554024219513
fractal 4 0.3301554024219513
fractal 1 0.3301554024219513
fractal 2 0.3301554024219513
fractal 3 0.3301554024219513
fractal 4 0.3301554024219513
fractal 1 0.3301554024219513
fractal 2 0.3301554024219513
fractal 3 0.3301554024219513
fractal 4 0.3301554024219513
fractal 1 0.3301554024219513
fractal 2 0.3301554024219513
fractal 3 0.3301554024219513
fractal 4 0.3301554024219513
fractal 1 0.3301554024219513
fractal 2 0.3301554024219513
fractal 3 0.3301554024219513
fractal 4 0.3301554024219513
