sys db size nworkers runtime
fractal mico 4 1 242583
fractal mico 4 1 220373
fractal mico 4 1 249128
fractal mico 4 2 152628
fractal mico 4 2 141954
fractal mico 4 2 138112
fractal mico 4 3 106868
fractal mico 4 3 106790
fractal mico 4 3 106059
fractal mico 4 4 80180
fractal mico 4 4 75478
fractal mico 4 4 71205
fractal mico 4 5 64407
fractal mico 4 5 60833
fractal mico 4 5 67187
fractal mico 4 6 54298
fractal mico 4 6 58122
fractal mico 4 6 54561
fractal mico 4 7 44679
fractal mico 4 7 47754
fractal mico 4 7 47705
fractal mico 4 8 42199
fractal mico 4 8 43373
fractal mico 4 8 41638
fractal mico 4 9 42860
fractal mico 4 9 38878
fractal mico 4 9 37412
fractal mico 4 10 35845
fractal mico 4 10 33894
fractal mico 4 10 35777

fractal mico 5 1 10398311
fractal mico 5 1 11680311
fractal mico 5 1 9104235
fractal mico 5 2 4861400
fractal mico 5 2 3971152
fractal mico 5 2 5582794
fractal mico 5 3 3387295
fractal mico 5 3 3101635
fractal mico 5 3 3210391
fractal mico 5 4 2333091
fractal mico 5 4 2200374
fractal mico 5 4 2603351
fractal mico 5 5 1752811
fractal mico 5 5 1935988
fractal mico 5 5 1885902
fractal mico 5 6 1742079
fractal mico 5 6 1644008
fractal mico 5 6 1746213
fractal mico 5 7 1463750
fractal mico 5 7 1440740
fractal mico 5 7 1451979
fractal mico 5 8 1320424
fractal mico 5 8 1293486
fractal mico 5 8 1296214
fractal mico 5 9 1044421
fractal mico 5 9 1122929
fractal mico 5 9 1128760
fractal mico 5 10 965801
fractal mico 5 10 1150937
fractal mico 5 10 994635

fractal youtube 9 1 437715
fractal youtube 9 1 405222
fractal youtube 9 3 133649
fractal youtube 9 3 137875
fractal youtube 9 3 138181
fractal youtube 9 4 104347
fractal youtube 9 4 104716
fractal youtube 9 4 104321
fractal youtube 9 5 88222
fractal youtube 9 5 81790
fractal youtube 9 6 73206
fractal youtube 9 6 73097
fractal youtube 9 6 73127
fractal youtube 9 7 64929
fractal youtube 9 7 66830
fractal youtube 9 7 63655
fractal youtube 9 8 61958
fractal youtube 9 8 63680
fractal youtube 9 8 59157
fractal youtube 9 9 53863
fractal youtube 9 9 52853
fractal youtube 9 9 52402
fractal youtube 9 10 50335
fractal youtube 9 10 51464
fractal youtube 9 10 50774

fractal orkut 3 1 1015341
fractal orkut 3 1 1073458
fractal orkut 3 1 1079885
fractal orkut 3 2 492007
fractal orkut 3 2 502988
fractal orkut 3 2 489270
fractal orkut 3 3 366700
fractal orkut 3 3 353334
fractal orkut 3 3 370311
fractal orkut 3 4 308869
fractal orkut 3 4 289978
fractal orkut 3 4 290981
fractal orkut 3 5 257261
fractal orkut 3 5 267503
fractal orkut 3 5 252475
fractal orkut 3 6 229864
fractal orkut 3 6 231413
fractal orkut 3 6 233360
fractal orkut 3 7 206710
fractal orkut 3 7 222722
fractal orkut 3 7 217627
fractal orkut 3 8 209658
fractal orkut 3 8 195334
fractal orkut 3 8 206378
fractal orkut 3 9 195591
fractal orkut 3 9 183446
fractal orkut 3 9 224334
fractal orkut 3 10 178549
fractal orkut 3 10 179045
fractal orkut 3 10 177069
