sys depth runtime

#fractal 2 4009
#fractal 2 4904
#fractal 2 4671
fractal 3 7095
fractal 3 7132
fractal 3 6225
fractal 4 12742
fractal 4 12540
fractal 4 12703
fractal 5 22935
fractal 5 23067
fractal 5 22518
fractal 6 43848
fractal 6 43942
fractal 6 43950
fractal 7 75780
fractal 7 75985
fractal 7 75953
fractal 8 129841
fractal 8 127217
fractal 8 128489
fractal 9 203917
fractal 9 200963
fractal 9 201165

#arabesque 2 24295
#arabesque 2 20410
#arabesque 2 25930
arabesque 3 46749
arabesque 3 48476
arabesque 3 47458
arabesque 4 92325
arabesque 4 89271
arabesque 4 82821
arabesque 5 144787
arabesque 5 156226
arabesque 5 152319
arabesque 6 243965
arabesque 6 241613
arabesque 6 243853
arabesque 7 407338
arabesque 7 417142
arabesque 7 410336
arabesque 8 900373
arabesque 8 839125
arabesque 8 873360
arabesque 9 2701682
arabesque 9 2701425
arabesque 9 2401532

qkcount 3 154800
qkcount 3 154800
qkcount 3 154800
qkcount 4 157200
qkcount 4 157200
qkcount 4 157200
qkcount 5 163200
qkcount 5 163200
qkcount 5 163200
qkcount 6 163800
qkcount 6 163800
qkcount 6 163800
qkcount 7 165600
qkcount 7 165600
qkcount 7 165600
qkcount 8 161400
qkcount 8 161400
qkcount 8 161400
qkcount 9 153600
qkcount 9 153600
qkcount 9 153600

graphframes 3 0
graphframes 4 0
graphframes 5 0
graphframes 6 0
graphframes 7 0
graphframes 8 0
graphframes 9 0
