sys graph supp runtime
fractal patents 24000 26070
fractal patents 24000 27165
fractal patents 24000 44791
fractal patents 23000 36812
fractal patents 23000 36748
fractal patents 23000 55036
fractal patents 22000 104342
fractal patents 22000 105803
fractal patents 22000 99115
fractal patents 21000 233846
fractal patents 21000 267200
fractal patents 21000 232209
fractal patents 20000 549916
fractal patents 20000 558623
fractal patents 20000 494130

scalemine patents 20000 176784
scalemine patents 20000 178783
scalemine patents 20000 178493
scalemine patents 24000 135066
scalemine patents 24000 132642
scalemine patents 24000 137108
scalemine patents 21000 174653
scalemine patents 21000 172056
scalemine patents 21000 169754
scalemine patents 22000 149000
scalemine patents 22000 149424
scalemine patents 22000 146084
scalemine patents 23000 134683
scalemine patents 23000 138304
scalemine patents 23000 138769

arabesque patents 24000 178468
arabesque patents 24000 180316
arabesque patents 24000 171187
arabesque patents 21000 1527353
arabesque patents 21000 1380935
arabesque patents 21000 1278600
arabesque patents 22000 720623
arabesque patents 22000 655087
arabesque patents 22000 706942
arabesque patents 23000 238650
arabesque patents 23000 237043
arabesque patents 23000 237935
arabesque patents 20000 2560000
arabesque patents 20000 2363000
arabesque patents 20000 2409000


