sys db size nworkers runtime

fractal mico 3 1 173951
fractal mico 3 1 181120
fractal mico 3 1 210112
fractal mico 3 2 91110
fractal mico 3 2 96653
fractal mico 3 2 90407
fractal mico 3 3 64796
fractal mico 3 3 61390
fractal mico 3 3 61733
fractal mico 3 4 49376
fractal mico 3 4 50992
fractal mico 3 4 52629
fractal mico 3 5 41109
fractal mico 3 5 40401
fractal mico 3 5 39793
fractal mico 3 6 36750
fractal mico 3 6 37670
fractal mico 3 6 35084
fractal mico 3 7 30855
fractal mico 3 7 30643
fractal mico 3 7 28965
fractal mico 3 8 26504
fractal mico 3 8 29409
fractal mico 3 8 30993
fractal mico 3 9 26468
fractal mico 3 9 26689
fractal mico 3 9 26563
fractal mico 3 10 23519
fractal mico 3 10 23023
fractal mico 3 10 24804

fractal mico 4 1 57396975
fractal mico 4 1 57986750
fractal mico 4 1 45288323
fractal mico 4 2 26230886
fractal mico 4 2 27376642
fractal mico 4 2 22626685
fractal mico 4 3 15983502
fractal mico 4 3 15613959
fractal mico 4 3 15457279
fractal mico 4 4 11823497
fractal mico 4 4 11675440
fractal mico 4 4 11566534
fractal mico 4 5 9289281
fractal mico 4 5 9452972
fractal mico 4 5 9698906
fractal mico 4 6 8529504
fractal mico 4 6 8711002
fractal mico 4 6 9131610
fractal mico 4 7 8914237
fractal mico 4 7 8738835
fractal mico 4 7 7782820
fractal mico 4 8 7026776
fractal mico 4 8 6480484
fractal mico 4 8 6391461
fractal mico 4 9 6571564
fractal mico 4 9 6126637
fractal mico 4 9 6610424
fractal mico 4 10 5990518
fractal mico 4 10 5567132
fractal mico 4 10 5274146
