sys db query runtime
fractal patent 1 26328
fractal patent 1 26404
fractal patent 1 25828
fractal patent 2 26156
fractal patent 2 26161
fractal patent 2 26176
fractal patent 3 26744
fractal patent 3 26474
fractal patent 3 26933
fractal patent 4 26567
fractal patent 4 26110
fractal patent 4 26462
fractal patent 5 26651
fractal patent 5 27411
fractal patent 5 26472
fractal patent 6 37105
fractal patent 6 38080
fractal patent 6 36558
fractal patent 7 117191
fractal patent 7 93027
fractal patent 7 108507
fractal patent 8 28337
fractal patent 8 26775
fractal patent 8 27847
fractal youtube 1 58645
fractal youtube 1 59306
fractal youtube 1 60103
fractal youtube 2 64414
fractal youtube 2 67744
fractal youtube 2 64098
fractal youtube 3 62954
fractal youtube 3 60225
fractal youtube 3 60566
fractal youtube 4 60131
fractal youtube 4 56919
fractal youtube 4 60142
fractal youtube 5 60238
fractal youtube 5 60317
fractal youtube 5 60071
fractal youtube 6 221514
fractal youtube 6 231363
fractal youtube 6 224117
fractal youtube 7 1436941
fractal youtube 7 1780657
fractal youtube 7 1433326
fractal youtube 8 102861
fractal youtube 8 98222
fractal youtube 8 97709
seed patent 1 36000
seed patent 1 38000
seed patent 1 40000
seed patent 2 45000
seed patent 2 45000
seed patent 2 45000
seed patent 3 39000
seed patent 3 40000
seed patent 3 40000
seed patent 4 39000
seed patent 4 39000
seed patent 4 38000
seed patent 5 39000
seed patent 5 39000
seed patent 5 38000
seed patent 6 144000
seed patent 6 144000
seed patent 6 142000
seed patent 7 97000
seed patent 7 105000
seed patent 7 100000
seed patent 8 135000
seed patent 8 138000
seed patent 8 137000
seed youtube 1 46000
seed youtube 1 44000
seed youtube 1 44000
seed youtube 2 94000
seed youtube 2 154000
seed youtube 2 85000
seed youtube 3 59000
seed youtube 3 61000
seed youtube 3 58000
seed youtube 4 43000
seed youtube 4 45000
seed youtube 4 45000
seed youtube 5 44000
seed youtube 5 45000
seed youtube 5 44000
seed youtube 6 312000
seed youtube 6 369000
seed youtube 6 315000
seed youtube 7 826000
seed youtube 7 798000
seed youtube 7 802000
seed youtube 8 234000
seed youtube 8 154000
seed youtube 8 178000
