# q1: woody allen romance
# q2: mel gibson director
# q3: classic fantasy funny author
# q4: author classic award

query mode nworkers runtime
q1 2gr 1 60892
q1 2gr 1 61012
q1 2gr 1 63576
q1 2gr 2 40238
q1 2gr 2 39745
q1 2gr 2 39828
q1 2gr 3 31509
q1 2gr 3 31547
q1 2gr 3 31446
q1 2gr 4 29865
q1 2gr 4 29040
q1 2gr 4 25954
q1 2gr 5 24711
q1 2gr 5 26808
q1 2gr 5 26800
q1 2gr 6 23438
q1 2gr 6 22824
q1 2gr 6 23801
q1 2gr 7 20568
q1 2gr 7 22119
q1 2gr 7 22838
q1 2gr 8 21189
q1 2gr 8 22791
q1 2gr 8 23181
q1 2gr 9 19595
q1 2gr 9 21890
q1 2gr 9 21849

q1 1ngr 1 324153
q1 1ngr 1 327654
q1 1ngr 2 192751
q1 1ngr 2 161258
q1 1ngr 2 160154
q1 1ngr 3 109417
q1 1ngr 3 108597
q1 1ngr 4 83821
q1 1ngr 4 85626
q1 1ngr 4 88326
q1 1ngr 5 63982
q1 1ngr 5 64100
q1 1ngr 5 64925
q1 1ngr 6 54932
q1 1ngr 6 54489
q1 1ngr 6 56339
q1 1ngr 7 49835
q1 1ngr 7 49652
q1 1ngr 7 47481
q1 1ngr 8 43907
q1 1ngr 8 42089
q1 1ngr 8 44324
q1 1ngr 9 39602
q1 1ngr 9 37714
q1 1ngr 9 36869

q2 1ngr 1 6848370
q2 1ngr 1 7061856
q2 1ngr 1 6817404
q2 1ngr 2 3429974
q2 1ngr 2 3500725
q2 1ngr 2 3414370
q2 1ngr 3 2290865
q2 1ngr 3 2256135
q2 1ngr 3 2329818
q2 1ngr 4 1696005
q2 1ngr 4 1683194
q2 1ngr 4 1701967
q2 1ngr 5 1369425
q2 1ngr 5 1356844
q2 1ngr 5 1368138
q2 1ngr 6 1129407
q2 1ngr 6 1136088
q2 1ngr 6 1131893
q2 1ngr 7 974981
q2 1ngr 7 972903
q2 1ngr 7 976750
q2 1ngr 8 854737
q2 1ngr 8 850542
q2 1ngr 8 849991
q2 1ngr 9 760249
q2 1ngr 9 758763
q2 1ngr 9 762608

q2 2gr 1 64808
q2 2gr 1 62530
q2 2gr 1 65937
q2 2gr 2 38220
q2 2gr 2 38161
q2 2gr 2 37375
q2 2gr 3 30000
q2 2gr 3 29261
q2 2gr 3 31451
q2 2gr 4 24764
q2 2gr 4 26774
q2 2gr 4 25695
q2 2gr 5 23957
q2 2gr 5 24506
q2 2gr 5 23417
q2 2gr 6 20851
q2 2gr 6 22114
q2 2gr 6 22570
q2 2gr 7 20653
q2 2gr 7 19704
q2 2gr 7 19716
q2 2gr 8 19587
q2 2gr 8 21315
q2 2gr 8 20028
q2 2gr 9 21859
q2 2gr 9 20212
q2 2gr 9 19998

q3 2gr 1 3899580
q3 2gr 1 4560515
q3 2gr 1 6166302
q3 2gr 2 1856853
q3 2gr 2 1826190
q3 2gr 2 1822999
q3 2gr 3 1243958
q3 2gr 3 1227153
q3 2gr 3 1258959
q3 2gr 4 907940
q3 2gr 4 919400
q3 2gr 4 900850
q3 2gr 5 737219
q3 2gr 5 738582
q3 2gr 5 734156
q3 2gr 6 617761
q3 2gr 6 623769
q3 2gr 6 618160
q3 2gr 7 528844
q3 2gr 7 527788
q3 2gr 7 529102
q3 2gr 8 458436
q3 2gr 8 457486
q3 2gr 8 456403
q3 2gr 9 412336
q3 2gr 9 408694
q3 2gr 9 409300

q4 2gr 1 173221
q4 2gr 1 180693
q4 2gr 2 95835
q4 2gr 2 93541
q4 2gr 2 95283
q4 2gr 3 69365
q4 2gr 3 69475
q4 2gr 3 69232
q4 2gr 4 53244
q4 2gr 4 53599
q4 2gr 4 54609
q4 2gr 5 45693
q4 2gr 5 47922
q4 2gr 5 48870
q4 2gr 6 41306
q4 2gr 6 42618
q4 2gr 6 41239
q4 2gr 7 39141
q4 2gr 7 38330
q4 2gr 7 39427
q4 2gr 8 38108
q4 2gr 8 36515
q4 2gr 8 36768
q4 2gr 9 31557
q4 2gr 9 33956
q4 2gr 9 34205
