query nworkers runtime ipc miss
q2 1 3899580 1.65208 0.0534747
q2 1 4560515 1.41213 0.0674419
q2 1 6166302 1.04502 0.377092
q2 2 1856853 1.7399 0.00248184
q2 2 1826190 1.74833 0.00468247
q2 2 1822999 1.76134 0.00253702
q2 3 1243958 1.7194 0.00382397
q2 3 1227153 1.74015 0.00433643
q2 3 1258959 1.68672 0.00280171
q2 4 907940 1.77699 0.00274625
q2 4 919400 1.73749 0.00288651
q2 4 900850 1.7587 0.00273699
q2 5 737219 1.73644 0.00318661
q2 5 738582 1.73393 0.0029256
q2 5 734156 1.73395 0.00415989
q2 6 617761 1.71373 0.00352709
q2 6 623769 1.70209 0.00299835
q2 6 618160 1.7241 0.00346979
q2 7 528844 1.71303 0.00314536
q2 7 527788 1.7252 0.00634573
q2 7 529102 1.71379 0.00327387
q2 8 458436 1.71418 0.00393746
q2 8 457486 1.74069 0.00408089
q2 8 456403 1.7337 0.00319175
q2 9 412336 1.70933 0.0035467
q2 9 408694 1.7245 0.0162671
q2 9 409300 1.71625 0.00332157

q1 1 173221 0 0
q1 1 180693 0 0
q1 2 95835 0 0 
q1 2 93541 0 0 
q1 2 95283 0 0 
q1 3 69365 0 0 
q1 3 69475 0 0 
q1 3 69232 0 0 
q1 4 53244 0 0 
q1 4 53599 0 0 
q1 4 54609 0 0 
q1 5 45693 0 0 
q1 5 47922 0 0 
q1 5 48870 0 0 
q1 6 41306 0 0 
q1 6 42618 0 0 
q1 6 41239 0 0 
q1 7 39141 0 0 
q1 7 38330 0 0 
q1 7 39427 0 0 
q1 8 38108 0 0 
q1 8 36515 0 0 
q1 8 36768 0 0 
q1 9 31557 0 0 
q1 9 33956 0 0 
q1 9 34205 0 0 
