breakdown step partitionid runtime
InitialComputation 0 0 524
WorkStealingComputation 0 0 2732
InitialComputation 0 1 956
WorkStealingComputation 0 1 2287
InitialComputation 0 2 496
WorkStealingComputation 0 2 2753
InitialComputation 0 3 951
WorkStealingComputation 0 3 2155
InitialComputation 0 4 673
WorkStealingComputation 0 4 2374
InitialComputation 0 5 897
WorkStealingComputation 0 5 2249
InitialComputation 0 6 926
WorkStealingComputation 0 6 1854
InitialComputation 0 7 1211
WorkStealingComputation 0 7 2127
InitialComputation 0 8 426
WorkStealingComputation 0 8 2763
InitialComputation 0 9 430
WorkStealingComputation 0 9 2831
InitialComputation 0 10 511
WorkStealingComputation 0 10 2730
InitialComputation 0 11 913
WorkStealingComputation 0 11 2284
InitialComputation 0 12 557
WorkStealingComputation 0 12 2818
InitialComputation 0 13 915
WorkStealingComputation 0 13 2186
InitialComputation 0 14 620
WorkStealingComputation 0 14 2394
InitialComputation 0 15 894
WorkStealingComputation 0 15 2231
InitialComputation 0 16 954
WorkStealingComputation 0 16 1849
InitialComputation 0 17 1194
WorkStealingComputation 0 17 2146
InitialComputation 0 18 575
WorkStealingComputation 0 18 2596
InitialComputation 0 19 391
WorkStealingComputation 0 19 2901
InitialComputation 0 20 438
WorkStealingComputation 0 20 2786
InitialComputation 0 21 981
WorkStealingComputation 0 21 2274
InitialComputation 0 22 531
WorkStealingComputation 0 22 2724
InitialComputation 0 23 947
WorkStealingComputation 0 23 2158
InitialComputation 0 24 664
WorkStealingComputation 0 24 2368
InitialComputation 0 25 801
WorkStealingComputation 0 25 2207
InitialComputation 0 26 799
WorkStealingComputation 0 26 1896
InitialComputation 0 27 905
WorkStealingComputation 0 27 2331
InitialComputation 0 28 579
WorkStealingComputation 0 28 2595
InitialComputation 0 29 504
WorkStealingComputation 0 29 2840
InitialComputation 0 30 477
WorkStealingComputation 0 30 2720
InitialComputation 0 31 953
WorkStealingComputation 0 31 2284
InitialComputation 0 32 528
WorkStealingComputation 0 32 2805
InitialComputation 0 33 947
WorkStealingComputation 0 33 2161
InitialComputation 0 34 793
WorkStealingComputation 0 34 2430
InitialComputation 0 35 903
WorkStealingComputation 0 35 2244
InitialComputation 0 36 960
WorkStealingComputation 0 36 1855
InitialComputation 0 37 1208
WorkStealingComputation 0 37 2132
InitialComputation 0 38 371
WorkStealingComputation 0 38 2762
InitialComputation 0 39 446
WorkStealingComputation 0 39 2836
InitialComputation 0 40 497
WorkStealingComputation 0 40 2724
InitialComputation 0 41 933
WorkStealingComputation 0 41 2263
InitialComputation 0 42 477
WorkStealingComputation 0 42 2794
InitialComputation 0 43 981
WorkStealingComputation 0 43 2126
InitialComputation 0 44 635
WorkStealingComputation 0 44 2425
InitialComputation 0 45 806
WorkStealingComputation 0 45 2162
InitialComputation 0 46 940
WorkStealingComputation 0 46 1852
InitialComputation 0 47 1148
WorkStealingComputation 0 47 2172
InitialComputation 0 48 566
WorkStealingComputation 0 48 2611
InitialComputation 0 49 475
WorkStealingComputation 0 49 2868
InitialComputation 0 50 535
WorkStealingComputation 0 50 2740
InitialComputation 0 51 962
WorkStealingComputation 0 51 2282
InitialComputation 0 52 497
WorkStealingComputation 0 52 2803
InitialComputation 0 53 943
WorkStealingComputation 0 53 2164
InitialComputation 0 54 470
WorkStealingComputation 0 54 2576
InitialComputation 0 55 822
WorkStealingComputation 0 55 2173
InitialComputation 0 56 917
WorkStealingComputation 0 56 1866
InitialComputation 0 57 1211
WorkStealingComputation 0 57 2104
InitialComputation 0 58 491
WorkStealingComputation 0 58 2679
InitialComputation 0 59 448
WorkStealingComputation 0 59 2896
InitialComputation 0 60 560
WorkStealingComputation 0 60 2721
InitialComputation 0 61 987
WorkStealingComputation 0 61 2233
InitialComputation 0 62 520
WorkStealingComputation 0 62 2776
InitialComputation 0 63 963
WorkStealingComputation 0 63 2143
InitialComputation 0 64 661
WorkStealingComputation 0 64 2457
InitialComputation 0 65 796
WorkStealingComputation 0 65 2195
InitialComputation 0 66 834
WorkStealingComputation 0 66 1861
InitialComputation 0 67 1225
WorkStealingComputation 0 67 2117
InitialComputation 0 68 508
WorkStealingComputation 0 68 2669
InitialComputation 0 69 392
WorkStealingComputation 0 69 2870
InitialComputation 0 70 498
WorkStealingComputation 0 70 2724
InitialComputation 0 71 993
WorkStealingComputation 0 71 2252
InitialComputation 0 72 437
WorkStealingComputation 0 72 2813
InitialComputation 0 73 972
WorkStealingComputation 0 73 2135
InitialComputation 0 74 438
WorkStealingComputation 0 74 2599
InitialComputation 0 75 754
WorkStealingComputation 0 75 2285
InitialComputation 0 76 832
WorkStealingComputation 0 76 1860
InitialComputation 0 77 1225
WorkStealingComputation 0 77 2105
InitialComputation 0 78 435
WorkStealingComputation 0 78 2755
InitialComputation 0 79 452
WorkStealingComputation 0 79 2892
InitialComputation 0 80 498
WorkStealingComputation 0 80 2737
InitialComputation 0 81 972
WorkStealingComputation 0 81 2280
InitialComputation 0 82 475
WorkStealingComputation 0 82 2791
InitialComputation 0 83 951
WorkStealingComputation 0 83 2187
InitialComputation 0 84 620
WorkStealingComputation 0 84 2408
InitialComputation 0 85 804
WorkStealingComputation 0 85 2226
InitialComputation 0 86 607
WorkStealingComputation 0 86 2086
InitialComputation 0 87 1214
WorkStealingComputation 0 87 2108
InitialComputation 0 88 594
WorkStealingComputation 0 88 2583
InitialComputation 0 89 424
WorkStealingComputation 0 89 2891
InitialComputation 0 90 528
WorkStealingComputation 0 90 2712
InitialComputation 0 91 972
WorkStealingComputation 0 91 2281
