breakdown step partitionid runtime
InitialComputation 0 0 465
WorkStealingComputation 0 0 1423
InitialComputation 0 1 843
WorkStealingComputation 0 1 1127
InitialComputation 0 2 600
WorkStealingComputation 0 2 1440
InitialComputation 0 3 559
WorkStealingComputation 0 3 1403
InitialComputation 0 4 581
WorkStealingComputation 0 4 1351
InitialComputation 0 5 545
WorkStealingComputation 0 5 1339
InitialComputation 0 6 644
WorkStealingComputation 0 6 1336
InitialComputation 0 7 740
WorkStealingComputation 0 7 1032
InitialComputation 0 8 777
WorkStealingComputation 0 8 1138
InitialComputation 0 9 813
WorkStealingComputation 0 9 1305
InitialComputation 0 10 442
WorkStealingComputation 0 10 1478
InitialComputation 0 11 823
WorkStealingComputation 0 11 1140
InitialComputation 0 12 569
WorkStealingComputation 0 12 1455
InitialComputation 0 13 592
WorkStealingComputation 0 13 1370
InitialComputation 0 14 599
WorkStealingComputation 0 14 1313
InitialComputation 0 15 454
WorkStealingComputation 0 15 1429
InitialComputation 0 16 577
WorkStealingComputation 0 16 1395
InitialComputation 0 17 711
WorkStealingComputation 0 17 1037
InitialComputation 0 18 836
WorkStealingComputation 0 18 1084
InitialComputation 0 19 764
WorkStealingComputation 0 19 1310
InitialComputation 0 20 442
WorkStealingComputation 0 20 1481
InitialComputation 0 21 826
WorkStealingComputation 0 21 1141
InitialComputation 0 22 513
WorkStealingComputation 0 22 1510
InitialComputation 0 23 426
WorkStealingComputation 0 23 1537
InitialComputation 0 24 591
WorkStealingComputation 0 24 1326
InitialComputation 0 25 467
WorkStealingComputation 0 25 1406
InitialComputation 0 26 634
WorkStealingComputation 0 26 1349
InitialComputation 0 27 869
WorkStealingComputation 0 27 1087
InitialComputation 0 28 670
WorkStealingComputation 0 28 1242
InitialComputation 0 29 814
WorkStealingComputation 0 29 1261
InitialComputation 0 30 449
WorkStealingComputation 0 30 1481
InitialComputation 0 31 860
WorkStealingComputation 0 31 1164
InitialComputation 0 32 534
WorkStealingComputation 0 32 1490
InitialComputation 0 33 590
WorkStealingComputation 0 33 1372
InitialComputation 0 34 586
WorkStealingComputation 0 34 1328
InitialComputation 0 35 544
WorkStealingComputation 0 35 1349
InitialComputation 0 36 634
WorkStealingComputation 0 36 1344
InitialComputation 0 37 700
WorkStealingComputation 0 37 1029
InitialComputation 0 38 849
WorkStealingComputation 0 38 1076
InitialComputation 0 39 879
WorkStealingComputation 0 39 1238
InitialComputation 0 40 506
WorkStealingComputation 0 40 1428
InitialComputation 0 41 763
WorkStealingComputation 0 41 1190
InitialComputation 0 42 596
WorkStealingComputation 0 42 1444
InitialComputation 0 43 583
WorkStealingComputation 0 43 1390
InitialComputation 0 44 580
WorkStealingComputation 0 44 1328
InitialComputation 0 45 412
WorkStealingComputation 0 45 1419
InitialComputation 0 46 574
WorkStealingComputation 0 46 1406
InitialComputation 0 47 625
WorkStealingComputation 0 47 1092
InitialComputation 0 48 832
WorkStealingComputation 0 48 1073
InitialComputation 0 49 890
WorkStealingComputation 0 49 1240
InitialComputation 0 50 451
WorkStealingComputation 0 50 1474
InitialComputation 0 51 820
WorkStealingComputation 0 51 1146
InitialComputation 0 52 485
WorkStealingComputation 0 52 1539
InitialComputation 0 53 462
WorkStealingComputation 0 53 1500
InitialComputation 0 54 597
WorkStealingComputation 0 54 1311
InitialComputation 0 55 494
WorkStealingComputation 0 55 1402
InitialComputation 0 56 601
WorkStealingComputation 0 56 1376
InitialComputation 0 57 618
WorkStealingComputation 0 57 1102
InitialComputation 0 58 838
WorkStealingComputation 0 58 1086
InitialComputation 0 59 837
WorkStealingComputation 0 59 1237
InitialComputation 0 60 411
WorkStealingComputation 0 60 1481
InitialComputation 0 61 844
WorkStealingComputation 0 61 1108
InitialComputation 0 62 510
WorkStealingComputation 0 62 1515
InitialComputation 0 63 584
WorkStealingComputation 0 63 1378
InitialComputation 0 64 598
WorkStealingComputation 0 64 1311
InitialComputation 0 65 444
WorkStealingComputation 0 65 1388
InitialComputation 0 66 636
WorkStealingComputation 0 66 1345
InitialComputation 0 67 702
WorkStealingComputation 0 67 1046
InitialComputation 0 68 723
WorkStealingComputation 0 68 1208
InitialComputation 0 69 891
WorkStealingComputation 0 69 1239
InitialComputation 0 70 402
WorkStealingComputation 0 70 1504
InitialComputation 0 71 848
WorkStealingComputation 0 71 1112
InitialComputation 0 72 476
WorkStealingComputation 0 72 1561
InitialComputation 0 73 639
WorkStealingComputation 0 73 1394
InitialComputation 0 74 553
WorkStealingComputation 0 74 1354
InitialComputation 0 75 485
WorkStealingComputation 0 75 1389
InitialComputation 0 76 630
WorkStealingComputation 0 76 1349
InitialComputation 0 77 759
WorkStealingComputation 0 77 1058
InitialComputation 0 78 767
WorkStealingComputation 0 78 1159
InitialComputation 0 79 833
WorkStealingComputation 0 79 1241
InitialComputation 0 80 433
WorkStealingComputation 0 80 1490
InitialComputation 0 81 821
WorkStealingComputation 0 81 1171
InitialComputation 0 82 533
WorkStealingComputation 0 82 1485
InitialComputation 0 83 584
WorkStealingComputation 0 83 1378
InitialComputation 0 84 513
WorkStealingComputation 0 84 1402
InitialComputation 0 85 527
WorkStealingComputation 0 85 1390
InitialComputation 0 86 570
WorkStealingComputation 0 86 1408
InitialComputation 0 87 828
WorkStealingComputation 0 87 1130
InitialComputation 0 88 834
WorkStealingComputation 0 88 1080
InitialComputation 0 89 797
WorkStealingComputation 0 89 1333
InitialComputation 0 90 465
WorkStealingComputation 0 90 1446
InitialComputation 0 91 831
WorkStealingComputation 0 91 1074
InitialComputation 0 92 578
WorkStealingComputation 0 92 1445
InitialComputation 0 93 647
WorkStealingComputation 0 93 1386
InitialComputation 0 94 522
WorkStealingComputation 0 94 1378
InitialComputation 0 95 459
WorkStealingComputation 0 95 1381
InitialComputation 0 96 642
WorkStealingComputation 0 96 1340
InitialComputation 0 97 650
WorkStealingComputation 0 97 1078
InitialComputation 0 98 674
WorkStealingComputation 0 98 1246
InitialComputation 0 99 861
WorkStealingComputation 0 99 1243
InitialComputation 0 100 425
WorkStealingComputation 0 100 1463
InitialComputation 0 101 830
WorkStealingComputation 0 101 1072
InitialComputation 0 102 586
WorkStealingComputation 0 102 1453
InitialComputation 0 103 451
WorkStealingComputation 0 103 1525
InitialComputation 0 104 602
WorkStealingComputation 0 104 1308
InitialComputation 0 105 480
WorkStealingComputation 0 105 1350
InitialComputation 0 106 603
WorkStealingComputation 0 106 1376
InitialComputation 0 107 857
WorkStealingComputation 0 107 1090
InitialComputation 0 108 735
WorkStealingComputation 0 108 1196
InitialComputation 0 109 853
WorkStealingComputation 0 109 1303
InitialComputation 0 110 406
WorkStealingComputation 0 110 1481
InitialComputation 0 111 857
WorkStealingComputation 0 111 1093
InitialComputation 0 112 551
WorkStealingComputation 0 112 1473
InitialComputation 0 113 598
WorkStealingComputation 0 113 1365
InitialComputation 0 114 552
WorkStealingComputation 0 114 1349
InitialComputation 0 115 538
WorkStealingComputation 0 115 1336
InitialComputation 0 116 723
WorkStealingComputation 0 116 1357
InitialComputation 0 117 760
WorkStealingComputation 0 117 1033
InitialComputation 0 118 810
WorkStealingComputation 0 118 1099
InitialComputation 0 119 751
WorkStealingComputation 0 119 1322
InitialComputation 0 120 450
WorkStealingComputation 0 120 1473
InitialComputation 0 121 846
WorkStealingComputation 0 121 1104
InitialComputation 0 122 535
WorkStealingComputation 0 122 1488
InitialComputation 0 123 456
WorkStealingComputation 0 123 1506
InitialComputation 0 124 592
WorkStealingComputation 0 124 1309
InitialComputation 0 125 541
WorkStealingComputation 0 125 1342
InitialComputation 0 126 625
WorkStealingComputation 0 126 1347
InitialComputation 0 127 652
WorkStealingComputation 0 127 1078
InitialComputation 0 128 778
WorkStealingComputation 0 128 1145
InitialComputation 0 129 861
WorkStealingComputation 0 129 1269
InitialComputation 0 130 438
WorkStealingComputation 0 130 1474
InitialComputation 0 131 767
WorkStealingComputation 0 131 1191
InitialComputation 0 132 504
WorkStealingComputation 0 132 1520
InitialComputation 0 133 540
WorkStealingComputation 0 133 1422
InitialComputation 0 134 532
WorkStealingComputation 0 134 1378
InitialComputation 0 135 506
WorkStealingComputation 0 135 1378
InitialComputation 0 136 591
WorkStealingComputation 0 136 1388
InitialComputation 0 137 687
WorkStealingComputation 0 137 1043
InitialComputation 0 138 892
WorkStealingComputation 0 138 1073
InitialComputation 0 139 836
WorkStealingComputation 0 139 1235
InitialComputation 0 140 615
WorkStealingComputation 0 140 1450
InitialComputation 0 141 856
WorkStealingComputation 0 141 1108
InitialComputation 0 142 650
WorkStealingComputation 0 142 1458
InitialComputation 0 143 577
WorkStealingComputation 0 143 1385
InitialComputation 0 144 581
WorkStealingComputation 0 144 1332
InitialComputation 0 145 536
WorkStealingComputation 0 145 1380
InitialComputation 0 146 561
WorkStealingComputation 0 146 1410
InitialComputation 0 147 697
WorkStealingComputation 0 147 1036
InitialComputation 0 148 835
WorkStealingComputation 0 148 1080
InitialComputation 0 149 809
WorkStealingComputation 0 149 1357
InitialComputation 0 150 435
WorkStealingComputation 0 150 1617
InitialComputation 0 151 848
WorkStealingComputation 0 151 1115
InitialComputation 0 152 501
WorkStealingComputation 0 152 1523
InitialComputation 0 153 564
WorkStealingComputation 0 153 1408
InitialComputation 0 154 597
WorkStealingComputation 0 154 1311
InitialComputation 0 155 553
WorkStealingComputation 0 155 1332
InitialComputation 0 156 586
WorkStealingComputation 0 156 1392
InitialComputation 0 157 627
WorkStealingComputation 0 157 1102
InitialComputation 0 158 844
WorkStealingComputation 0 158 1092
InitialComputation 0 159 881
WorkStealingComputation 0 159 1249
InitialComputation 0 160 619
WorkStealingComputation 0 160 1437
InitialComputation 0 161 830
WorkStealingComputation 0 161 1130
InitialComputation 0 162 602
WorkStealingComputation 0 162 1445
InitialComputation 0 163 391
WorkStealingComputation 0 163 1584
InitialComputation 0 164 581
WorkStealingComputation 0 164 1335
InitialComputation 0 165 359
WorkStealingComputation 0 165 1474
InitialComputation 0 166 574
WorkStealingComputation 0 166 1409
InitialComputation 0 167 697
WorkStealingComputation 0 167 1026
InitialComputation 0 168 829
WorkStealingComputation 0 168 1087
InitialComputation 0 169 836
WorkStealingComputation 0 169 1238
InitialComputation 0 170 469
WorkStealingComputation 0 170 1449
InitialComputation 0 171 775
WorkStealingComputation 0 171 1249
InitialComputation 0 172 575
WorkStealingComputation 0 172 1465
InitialComputation 0 173 593
WorkStealingComputation 0 173 1368
InitialComputation 0 174 614
WorkStealingComputation 0 174 1300
InitialComputation 0 175 516
WorkStealingComputation 0 175 1377
InitialComputation 0 176 563
WorkStealingComputation 0 176 1416
InitialComputation 0 177 747
WorkStealingComputation 0 177 1033
InitialComputation 0 178 798
WorkStealingComputation 0 178 1116
InitialComputation 0 179 867
WorkStealingComputation 0 179 1238
InitialComputation 0 180 467
WorkStealingComputation 0 180 1428
InitialComputation 0 181 824
WorkStealingComputation 0 181 1112
InitialComputation 0 182 530
WorkStealingComputation 0 182 1494
InitialComputation 0 183 496
WorkStealingComputation 0 183 1479
InitialComputation 0 184 581
WorkStealingComputation 0 184 1328
InitialComputation 0 185 514
WorkStealingComputation 0 185 1342
InitialComputation 0 186 633
WorkStealingComputation 0 186 1359
InitialComputation 0 187 628
WorkStealingComputation 0 187 1099
InitialComputation 0 188 837
WorkStealingComputation 0 188 1094
InitialComputation 0 189 876
WorkStealingComputation 0 189 1292
InitialComputation 0 190 461
WorkStealingComputation 0 190 1456
InitialComputation 0 191 860
WorkStealingComputation 0 191 1125
InitialComputation 0 192 598
WorkStealingComputation 0 192 1441
InitialComputation 0 193 478
WorkStealingComputation 0 193 1530
InitialComputation 0 194 590
WorkStealingComputation 0 194 1343
InitialComputation 0 195 483
WorkStealingComputation 0 195 1384
InitialComputation 0 196 623
WorkStealingComputation 0 196 1355
InitialComputation 0 197 680
WorkStealingComputation 0 197 1082
InitialComputation 0 198 651
WorkStealingComputation 0 198 1250
InitialComputation 0 199 797
