breakdown step partitionid runtime
InitialComputation 0 0 690
WorkStealingComputation 0 0 22
InitialComputation 0 1 292
WorkStealingComputation 0 1 51
InitialComputation 0 2 531
WorkStealingComputation 0 2 56
InitialComputation 0 3 1466
WorkStealingComputation 0 3 7
InitialComputation 0 4 482
WorkStealingComputation 0 4 66
InitialComputation 0 5 696
WorkStealingComputation 0 5 174
InitialComputation 0 6 588
WorkStealingComputation 0 6 53
InitialComputation 0 7 748
WorkStealingComputation 0 7 105
InitialComputation 0 8 950
WorkStealingComputation 0 8 82
InitialComputation 0 9 329
WorkStealingComputation 0 9 44
InitialComputation 0 10 641
WorkStealingComputation 0 10 69
InitialComputation 0 11 297
WorkStealingComputation 0 11 23
InitialComputation 0 12 468
WorkStealingComputation 0 12 109
InitialComputation 0 13 1426
WorkStealingComputation 0 13 39
InitialComputation 0 14 539
WorkStealingComputation 0 14 3
InitialComputation 0 15 841
WorkStealingComputation 0 15 37
InitialComputation 0 16 422
WorkStealingComputation 0 16 41
InitialComputation 0 17 497
WorkStealingComputation 0 17 201
InitialComputation 0 18 936
WorkStealingComputation 0 18 98
InitialComputation 0 19 432
WorkStealingComputation 0 19 26
InitialComputation 0 20 639
WorkStealingComputation 0 20 73
InitialComputation 0 21 311
WorkStealingComputation 0 21 13
InitialComputation 0 22 540
WorkStealingComputation 0 22 64
InitialComputation 0 23 1500
WorkStealingComputation 0 23 3
InitialComputation 0 24 468
WorkStealingComputation 0 24 128
InitialComputation 0 25 757
WorkStealingComputation 0 25 172
InitialComputation 0 26 448
WorkStealingComputation 0 26 50
InitialComputation 0 27 606
WorkStealingComputation 0 27 93
InitialComputation 0 28 976
WorkStealingComputation 0 28 55
InitialComputation 0 29 348
WorkStealingComputation 0 29 36
InitialComputation 0 30 656
WorkStealingComputation 0 30 57
InitialComputation 0 31 289
WorkStealingComputation 0 31 8
InitialComputation 0 32 543
WorkStealingComputation 0 32 57
InitialComputation 0 33 1483
WorkStealingComputation 0 33 20
InitialComputation 0 34 583
WorkStealingComputation 0 34 15
InitialComputation 0 35 783
WorkStealingComputation 0 35 5
InitialComputation 0 36 392
WorkStealingComputation 0 36 58
InitialComputation 0 37 826
WorkStealingComputation 0 37 7
InitialComputation 0 38 1598
WorkStealingComputation 0 38 14
InitialComputation 0 39 341
WorkStealingComputation 0 39 23
InitialComputation 0 40 711
WorkStealingComputation 0 40 0
InitialComputation 0 41 275
WorkStealingComputation 0 41 23
InitialComputation 0 42 509
WorkStealingComputation 0 42 84
InitialComputation 0 43 1460
WorkStealingComputation 0 43 38
InitialComputation 0 44 559
WorkStealingComputation 0 44 7
InitialComputation 0 45 659
WorkStealingComputation 0 45 140
InitialComputation 0 46 476
WorkStealingComputation 0 46 9
InitialComputation 0 47 477
WorkStealingComputation 0 47 226
InitialComputation 0 48 957
WorkStealingComputation 0 48 76
InitialComputation 0 49 315
WorkStealingComputation 0 49 50
InitialComputation 0 50 662
WorkStealingComputation 0 50 62
InitialComputation 0 51 251
WorkStealingComputation 0 51 66
InitialComputation 0 52 590
WorkStealingComputation 0 52 15
InitialComputation 0 53 1478
WorkStealingComputation 0 53 5
InitialComputation 0 54 533
WorkStealingComputation 0 54 26
InitialComputation 0 55 832
WorkStealingComputation 0 55 70
InitialComputation 0 56 435
WorkStealingComputation 0 56 60
InitialComputation 0 57 657
WorkStealingComputation 0 57 33
InitialComputation 0 58 1034
WorkStealingComputation 0 58 1
InitialComputation 0 59 359
WorkStealingComputation 0 59 21
InitialComputation 0 60 709
WorkStealingComputation 0 60 4
InitialComputation 0 61 303
WorkStealingComputation 0 61 22
InitialComputation 0 62 541
WorkStealingComputation 0 62 64
InitialComputation 0 63 1427
WorkStealingComputation 0 63 45
InitialComputation 0 64 481
WorkStealingComputation 0 64 74
InitialComputation 0 65 714
WorkStealingComputation 0 65 220
InitialComputation 0 66 435
WorkStealingComputation 0 66 62
InitialComputation 0 67 720
WorkStealingComputation 0 67 15
InitialComputation 0 68 1025
WorkStealingComputation 0 68 8
InitialComputation 0 69 451
WorkStealingComputation 0 69 43
InitialComputation 0 70 661
WorkStealingComputation 0 70 52
InitialComputation 0 71 215
WorkStealingComputation 0 71 101
InitialComputation 0 72 513
WorkStealingComputation 0 72 45
InitialComputation 0 73 1451
WorkStealingComputation 0 73 22
InitialComputation 0 74 540
WorkStealingComputation 0 74 13
InitialComputation 0 75 719
WorkStealingComputation 0 75 47
InitialComputation 0 76 447
WorkStealingComputation 0 76 0
InitialComputation 0 77 643
WorkStealingComputation 0 77 49
InitialComputation 0 78 1054
WorkStealingComputation 0 78 9
InitialComputation 0 79 363
WorkStealingComputation 0 79 10
InitialComputation 0 80 700
WorkStealingComputation 0 80 12
InitialComputation 0 81 330
WorkStealingComputation 0 81 40
InitialComputation 0 82 560
WorkStealingComputation 0 82 30
InitialComputation 0 83 1391
WorkStealingComputation 0 83 82
InitialComputation 0 84 549
WorkStealingComputation 0 84 49
InitialComputation 0 85 807
WorkStealingComputation 0 85 0
InitialComputation 0 86 437
WorkStealingComputation 0 86 48
InitialComputation 0 87 680
WorkStealingComputation 0 87 11
InitialComputation 0 88 1009
WorkStealingComputation 0 88 9
InitialComputation 0 89 430
WorkStealingComputation 0 89 59
InitialComputation 0 90 674
WorkStealingComputation 0 90 37
InitialComputation 0 91 295
WorkStealingComputation 0 91 4
InitialComputation 0 92 543
WorkStealingComputation 0 92 16
InitialComputation 0 93 1406
WorkStealingComputation 0 93 91
InitialComputation 0 94 463
WorkStealingComputation 0 94 87
InitialComputation 0 95 632
WorkStealingComputation 0 95 127
InitialComputation 0 96 652
WorkStealingComputation 0 96 60
InitialComputation 0 97 675
WorkStealingComputation 0 97 23
InitialComputation 0 98 985
WorkStealingComputation 0 98 47
InitialComputation 0 99 433
WorkStealingComputation 0 99 41
InitialComputation 0 100 721
WorkStealingComputation 0 100 57
InitialComputation 0 101 300
WorkStealingComputation 0 101 0
InitialComputation 0 102 542
WorkStealingComputation 0 102 63
InitialComputation 0 103 1444
WorkStealingComputation 0 103 49
InitialComputation 0 104 461
WorkStealingComputation 0 104 45
InitialComputation 0 105 788
WorkStealingComputation 0 105 64
InitialComputation 0 106 394
WorkStealingComputation 0 106 59
InitialComputation 0 107 673
WorkStealingComputation 0 107 24
InitialComputation 0 108 969
WorkStealingComputation 0 108 65
InitialComputation 0 109 405
WorkStealingComputation 0 109 66
InitialComputation 0 110 653
WorkStealingComputation 0 110 57
InitialComputation 0 111 295
WorkStealingComputation 0 111 24
InitialComputation 0 112 577
WorkStealingComputation 0 112 28
InitialComputation 0 113 1438
WorkStealingComputation 0 113 64
InitialComputation 0 114 588
WorkStealingComputation 0 114 10
InitialComputation 0 115 909
WorkStealingComputation 0 115 9
InitialComputation 0 116 414
WorkStealingComputation 0 116 28
InitialComputation 0 117 585
WorkStealingComputation 0 117 112
InitialComputation 0 118 943
WorkStealingComputation 0 118 87
InitialComputation 0 119 449
WorkStealingComputation 0 119 12
InitialComputation 0 120 678
WorkStealingComputation 0 120 42
InitialComputation 0 121 461
WorkStealingComputation 0 121 82
InitialComputation 0 122 499
WorkStealingComputation 0 122 106
InitialComputation 0 123 1427
WorkStealingComputation 0 123 48
InitialComputation 0 124 549
WorkStealingComputation 0 124 1
InitialComputation 0 125 787
WorkStealingComputation 0 125 16
InitialComputation 0 126 659
WorkStealingComputation 0 126 54
InitialComputation 0 127 675
WorkStealingComputation 0 127 16
InitialComputation 0 128 1018
WorkStealingComputation 0 128 4
InitialComputation 0 129 328
WorkStealingComputation 0 129 32
InitialComputation 0 130 716
WorkStealingComputation 0 130 27
InitialComputation 0 131 288
WorkStealingComputation 0 131 14
InitialComputation 0 132 487
WorkStealingComputation 0 132 48
InitialComputation 0 133 1453
WorkStealingComputation 0 133 44
InitialComputation 0 134 585
WorkStealingComputation 0 134 13
InitialComputation 0 135 837
WorkStealingComputation 0 135 117
InitialComputation 0 136 437
WorkStealingComputation 0 136 18
InitialComputation 0 137 729
WorkStealingComputation 0 137 17
InitialComputation 0 138 1007
WorkStealingComputation 0 138 25
InitialComputation 0 139 314
WorkStealingComputation 0 139 123
InitialComputation 0 140 656
WorkStealingComputation 0 140 56
InitialComputation 0 141 288
WorkStealingComputation 0 141 8
InitialComputation 0 142 571
