breakdown step partitionid runtime
InitialComputation 0 0 731
InitialComputation 0 1 620
InitialComputation 0 2 813
InitialComputation 0 3 1195
InitialComputation 0 4 420
InitialComputation 0 5 1055
InitialComputation 0 6 474
InitialComputation 0 7 847
InitialComputation 0 8 704

InitialComputation 0 9 686

InitialComputation 0 10 607

InitialComputation 0 11 796

InitialComputation 0 12 1201

InitialComputation 0 13 432

InitialComputation 0 14 1063

InitialComputation 0 15 494

InitialComputation 0 16 718

InitialComputation 0 17 698

InitialComputation 0 18 736

InitialComputation 0 19 657

InitialComputation 0 20 728

InitialComputation 0 21 1218

InitialComputation 0 22 444

InitialComputation 0 23 949

InitialComputation 0 24 496

InitialComputation 0 25 851

InitialComputation 0 26 738

InitialComputation 0 27 703

InitialComputation 0 28 668

InitialComputation 0 29 756

InitialComputation 0 30 866

InitialComputation 0 31 457

InitialComputation 0 32 991

InitialComputation 0 33 479

InitialComputation 0 34 874

InitialComputation 0 35 697

InitialComputation 0 36 721

InitialComputation 0 37 656

InitialComputation 0 38 752

InitialComputation 0 39 1106

InitialComputation 0 40 415

InitialComputation 0 41 983

InitialComputation 0 42 448

InitialComputation 0 43 849

InitialComputation 0 44 709

InitialComputation 0 45 722

InitialComputation 0 46 667

InitialComputation 0 47 722

InitialComputation 0 48 1131

InitialComputation 0 49 394

InitialComputation 0 50 1080

InitialComputation 0 51 497

InitialComputation 0 52 797

InitialComputation 0 53 848

InitialComputation 0 54 759

InitialComputation 0 55 659

InitialComputation 0 56 780

InitialComputation 0 57 1135

InitialComputation 0 58 462

InitialComputation 0 59 1083

InitialComputation 0 60 569

InitialComputation 0 61 873

InitialComputation 0 62 707

InitialComputation 0 63 699

InitialComputation 0 64 663

InitialComputation 0 65 884

InitialComputation 0 66 1028

InitialComputation 0 67 489

InitialComputation 0 68 1077

InitialComputation 0 69 575

InitialComputation 0 70 864

InitialComputation 0 71 830

InitialComputation 0 72 742

InitialComputation 0 73 740

InitialComputation 0 74 796

InitialComputation 0 75 1205

InitialComputation 0 76 426

InitialComputation 0 77 1081

InitialComputation 0 78 506

InitialComputation 0 79 811

InitialComputation 0 80 662

InitialComputation 0 81 709

InitialComputation 0 82 652

InitialComputation 0 83 718

InitialComputation 0 84 1121

InitialComputation 0 85 494

InitialComputation 0 86 1015

InitialComputation 0 87 531

InitialComputation 0 88 955

InitialComputation 0 89 653

InitialComputation 0 90 669

InitialComputation 0 91 657

InitialComputation 0 92 784

InitialComputation 0 93 1207

InitialComputation 0 94 452

InitialComputation 0 95 1046

InitialComputation 0 96 527

InitialComputation 0 97 844

InitialComputation 0 98 657

InitialComputation 0 99 693

InitialComputation 0 100 660

InitialComputation 0 101 796

InitialComputation 0 102 1182

InitialComputation 0 103 490

InitialComputation 0 104 1037

InitialComputation 0 105 439

InitialComputation 0 106 858

InitialComputation 0 107 682

InitialComputation 0 108 696

InitialComputation 0 109 693

InitialComputation 0 110 679

InitialComputation 0 111 1023

InitialComputation 0 112 442

InitialComputation 0 113 1088

InitialComputation 0 114 537

InitialComputation 0 115 965

InitialComputation 0 116 596

InitialComputation 0 117 648

InitialComputation 0 118 709

InitialComputation 0 119 730

InitialComputation 0 120 1149

InitialComputation 0 121 446

InitialComputation 0 122 1110

InitialComputation 0 123 546

InitialComputation 0 124 836

InitialComputation 0 125 698

InitialComputation 0 126 717

InitialComputation 0 127 695

InitialComputation 0 128 821

InitialComputation 0 129 1220

InitialComputation 0 130 490

InitialComputation 0 131 1053

InitialComputation 0 132 490

InitialComputation 0 133 774

InitialComputation 0 134 691

InitialComputation 0 135 668

InitialComputation 0 136 658

InitialComputation 0 137 840

InitialComputation 0 138 1122

InitialComputation 0 139 415

InitialComputation 0 140 1077

InitialComputation 0 141 484

InitialComputation 0 142 840

InitialComputation 0 143 662

InitialComputation 0 144 764

InitialComputation 0 145 663

InitialComputation 0 146 912

InitialComputation 0 147 1230

InitialComputation 0 148 447

InitialComputation 0 149 1068

InitialComputation 0 150 527

