mode breakdown step partitionid runtime
4.Internal+External InitialComputation 0 0 465
4.Internal+External WorkStealingComputation 0 0 1423
4.Internal+External InitialComputation 0 1 843
4.Internal+External WorkStealingComputation 0 1 1127
4.Internal+External InitialComputation 0 2 600
4.Internal+External WorkStealingComputation 0 2 1440
4.Internal+External InitialComputation 0 3 559
4.Internal+External WorkStealingComputation 0 3 1403
4.Internal+External InitialComputation 0 4 581
4.Internal+External WorkStealingComputation 0 4 1351
4.Internal+External InitialComputation 0 5 545
4.Internal+External WorkStealingComputation 0 5 1339
4.Internal+External InitialComputation 0 6 644
4.Internal+External WorkStealingComputation 0 6 1336
4.Internal+External InitialComputation 0 7 740
4.Internal+External WorkStealingComputation 0 7 1032
4.Internal+External InitialComputation 0 8 777
4.Internal+External WorkStealingComputation 0 8 1138
4.Internal+External InitialComputation 0 9 813
4.Internal+External WorkStealingComputation 0 9 1305
4.Internal+External InitialComputation 0 10 442
4.Internal+External WorkStealingComputation 0 10 1478
4.Internal+External InitialComputation 0 11 823
4.Internal+External WorkStealingComputation 0 11 1140
4.Internal+External InitialComputation 0 12 569
4.Internal+External WorkStealingComputation 0 12 1455
4.Internal+External InitialComputation 0 13 592
4.Internal+External WorkStealingComputation 0 13 1370
4.Internal+External InitialComputation 0 14 599
4.Internal+External WorkStealingComputation 0 14 1313
4.Internal+External InitialComputation 0 15 454
4.Internal+External WorkStealingComputation 0 15 1429
4.Internal+External InitialComputation 0 16 577
4.Internal+External WorkStealingComputation 0 16 1395
4.Internal+External InitialComputation 0 17 711
4.Internal+External WorkStealingComputation 0 17 1037
4.Internal+External InitialComputation 0 18 836
4.Internal+External WorkStealingComputation 0 18 1084
4.Internal+External InitialComputation 0 19 764
4.Internal+External WorkStealingComputation 0 19 1310
4.Internal+External InitialComputation 0 20 442
4.Internal+External WorkStealingComputation 0 20 1481
4.Internal+External InitialComputation 0 21 826
4.Internal+External WorkStealingComputation 0 21 1141
4.Internal+External InitialComputation 0 22 513
4.Internal+External WorkStealingComputation 0 22 1510
4.Internal+External InitialComputation 0 23 426
4.Internal+External WorkStealingComputation 0 23 1537
4.Internal+External InitialComputation 0 24 591
4.Internal+External WorkStealingComputation 0 24 1326
4.Internal+External InitialComputation 0 25 467
4.Internal+External WorkStealingComputation 0 25 1406
4.Internal+External InitialComputation 0 26 634
4.Internal+External WorkStealingComputation 0 26 1349
4.Internal+External InitialComputation 0 27 869
4.Internal+External WorkStealingComputation 0 27 1087
4.Internal+External InitialComputation 0 28 670
4.Internal+External WorkStealingComputation 0 28 1242
4.Internal+External InitialComputation 0 29 814
4.Internal+External WorkStealingComputation 0 29 1261
4.Internal+External InitialComputation 0 30 449
4.Internal+External WorkStealingComputation 0 30 1481
4.Internal+External InitialComputation 0 31 860
4.Internal+External WorkStealingComputation 0 31 1164
4.Internal+External InitialComputation 0 32 534
4.Internal+External WorkStealingComputation 0 32 1490
4.Internal+External InitialComputation 0 33 590
4.Internal+External WorkStealingComputation 0 33 1372
4.Internal+External InitialComputation 0 34 586
4.Internal+External WorkStealingComputation 0 34 1328
4.Internal+External InitialComputation 0 35 544
4.Internal+External WorkStealingComputation 0 35 1349
4.Internal+External InitialComputation 0 36 634
4.Internal+External WorkStealingComputation 0 36 1344
4.Internal+External InitialComputation 0 37 700
4.Internal+External WorkStealingComputation 0 37 1029
4.Internal+External InitialComputation 0 38 849
4.Internal+External WorkStealingComputation 0 38 1076
4.Internal+External InitialComputation 0 39 879
4.Internal+External WorkStealingComputation 0 39 1238
4.Internal+External InitialComputation 0 40 506
4.Internal+External WorkStealingComputation 0 40 1428
4.Internal+External InitialComputation 0 41 763
4.Internal+External WorkStealingComputation 0 41 1190
4.Internal+External InitialComputation 0 42 596
4.Internal+External WorkStealingComputation 0 42 1444
4.Internal+External InitialComputation 0 43 583
4.Internal+External WorkStealingComputation 0 43 1390
4.Internal+External InitialComputation 0 44 580
4.Internal+External WorkStealingComputation 0 44 1328
4.Internal+External InitialComputation 0 45 412
