sys alg graph depth mem
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.513177268207073
fractal cliques youtube 2 8.536614701151848
fractal cliques youtube 2 8.536614701151848
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.544427335262299
fractal cliques youtube 2 8.583489634096622
fractal cliques youtube 2 8.583489634096622
fractal cliques youtube 2 8.583489634096622
fractal cliques youtube 2 8.583489634096622
fractal cliques youtube 2 8.583489634096622
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.59130222350359
fractal cliques youtube 2 8.599114634096622
fractal cliques youtube 2 8.599114634096622
fractal cliques youtube 2 8.599114634096622
fractal cliques youtube 2 8.599114634096622
fractal cliques youtube 2 8.599114634096622
fractal cliques youtube 2 8.599114634096622
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.606927253305912
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
fractal cliques youtube 2 8.688540004193783
