sys alg graph depth mem
arabesque motifs youtube 2 0.19607916474342346
arabesque motifs youtube 2 0.1966540664434433
arabesque motifs youtube 2 0.1987428218126297
arabesque motifs youtube 2 0.20653488487005234
arabesque motifs youtube 2 0.21263890713453293
arabesque motifs youtube 2 0.2158617600798607
arabesque motifs youtube 2 0.21800678223371506
arabesque motifs youtube 2 0.21861569583415985
arabesque motifs youtube 2 0.21942774951457977
arabesque motifs youtube 2 0.2217267006635666
arabesque motifs youtube 2 0.22243909537792206
arabesque motifs youtube 2 0.2225339040160179
arabesque motifs youtube 2 0.22778409719467163
arabesque motifs youtube 2 0.22843226045370102
arabesque motifs youtube 2 0.2320844978094101
arabesque motifs youtube 2 0.232598215341568
arabesque motifs youtube 2 0.23847156763076782
arabesque motifs youtube 2 0.23995831608772278
arabesque motifs youtube 2 0.24191272258758545
arabesque motifs youtube 2 0.2705639526247978
arabesque motifs youtube 3 0.8001859411597252
arabesque motifs youtube 3 0.8921512141823769
arabesque motifs youtube 3 1.063576452434063
arabesque motifs youtube 3 1.087881177663803
arabesque motifs youtube 3 1.2514852657914162
arabesque motifs youtube 3 2.250879593193531
arabesque motifs youtube 3 2.574954479932785
arabesque motifs youtube 3 2.625698506832123
arabesque motifs youtube 3 2.7699816450476646
arabesque motifs youtube 3 2.8166575580835342
arabesque motifs youtube 4 3.9489726200699806
arabesque motifs youtube 4 5.632524058222771
arabesque motifs youtube 4 5.747260846197605
arabesque motifs youtube 4 5.930060289800167
arabesque motifs youtube 4 5.969288930296898
arabesque motifs youtube 4 6.122014433145523
arabesque motifs youtube 4 6.148540154099464
arabesque motifs youtube 4 6.1582430228590965
arabesque motifs youtube 4 6.164294444024563
arabesque motifs youtube 4 6.187908574938774
arabesque motifs youtube 4 6.229663297533989
arabesque motifs youtube 4 6.262097120285034
arabesque motifs youtube 4 6.317531600594521
arabesque motifs youtube 4 6.33602399379015
arabesque motifs youtube 4 6.491057462990284
arabesque motifs youtube 4 6.53726602345705
arabesque motifs youtube 4 6.5533560290932655
arabesque motifs youtube 4 6.579203054308891
arabesque motifs youtube 4 6.649436242878437
arabesque motifs youtube 4 6.782602719962597
arabesque motifs youtube 4 6.795297414064407
arabesque motifs youtube 4 6.80891191214323
arabesque motifs youtube 4 6.9067422822117805
arabesque motifs youtube 4 6.961210370063782
arabesque motifs youtube 4 6.966792218387127
arabesque motifs youtube 4 6.969319581985474
arabesque motifs youtube 4 6.972523488104343
arabesque motifs youtube 4 6.989920541644096
arabesque motifs youtube 4 7.001914210617542
arabesque motifs youtube 4 7.004593603312969
arabesque motifs youtube 4 7.011663235723972
arabesque motifs youtube 4 7.045003697276115
arabesque motifs youtube 4 7.07993433624506
arabesque motifs youtube 4 7.202247157692909
arabesque motifs youtube 4 7.239644728600979
arabesque motifs youtube 4 7.26169128715992
arabesque motifs youtube 4 7.325531929731369
arabesque motifs youtube 4 7.40254633128643
arabesque motifs youtube 4 7.405738137662411
arabesque motifs youtube 4 7.534880451858044
arabesque motifs youtube 4 7.543629139661789
