sys alg graph depth mem
arabesque cliques youtube 2 15.25677677989006
arabesque cliques youtube 2 20.593441031873226
arabesque cliques youtube 2 20.960545860230923
arabesque cliques youtube 2 21.733828842639923
arabesque cliques youtube 2 22.934105180203915
arabesque cliques youtube 2 23.218866430222988
arabesque cliques youtube 2 23.99587043374777
arabesque cliques youtube 2 24.47853548824787
arabesque cliques youtube 2 26.124891489744186
arabesque cliques youtube 2 29.94592335820198
arabesque cliques youtube 3 19.99639207869768
arabesque cliques youtube 3 24.516520731151104
arabesque cliques youtube 3 28.12875095754862
arabesque cliques youtube 3 29.00833246856928
arabesque cliques youtube 3 29.0687498152256
arabesque cliques youtube 3 29.2695989087224
arabesque cliques youtube 3 29.637133106589317
arabesque cliques youtube 3 31.49200549721718
arabesque cliques youtube 3 31.714246280491352
arabesque cliques youtube 3 31.975706212222576
arabesque cliques youtube 3 32.51126743853092
arabesque cliques youtube 3 32.609763227403164
arabesque cliques youtube 3 34.61705184727907
arabesque cliques youtube 3 34.94107552617788
arabesque cliques youtube 3 35.57529395073652
arabesque cliques youtube 3 35.62930368632078
arabesque cliques youtube 3 35.927318565547466
arabesque cliques youtube 3 36.129295103251934
arabesque cliques youtube 3 36.89275090396404
arabesque cliques youtube 3 38.20922879129648
arabesque cliques youtube 3 38.70941711962223
arabesque cliques youtube 3 39.22440301626921
arabesque cliques youtube 3 39.741583935916424
arabesque cliques youtube 3 40.14360311627388
arabesque cliques youtube 3 40.65906087309122
arabesque cliques youtube 3 41.373220071196556
arabesque cliques youtube 3 42.58763363212347
arabesque cliques youtube 3 44.3890735656023
arabesque cliques youtube 3 44.610366851091385
arabesque cliques youtube 3 44.65962739288807
arabesque cliques youtube 3 44.70637779682875
arabesque cliques youtube 3 44.87515573948622
arabesque cliques youtube 3 44.96965391933918
arabesque cliques youtube 3 46.30602819472551
arabesque cliques youtube 3 46.38713364303112
arabesque cliques youtube 3 46.55524478107691
arabesque cliques youtube 3 47.4329761788249
arabesque cliques youtube 3 47.95693635940552
arabesque cliques youtube 3 48.52542236447334
arabesque cliques youtube 3 48.8901848718524
arabesque cliques youtube 3 49.27634804695845
arabesque cliques youtube 3 49.53613018989563
arabesque cliques youtube 3 49.66118548065424
arabesque cliques youtube 3 50.04265344142914
arabesque cliques youtube 3 50.201338686048985
arabesque cliques youtube 3 50.552076034247875
arabesque cliques youtube 3 51.34397692233324
arabesque cliques youtube 3 51.56668096780777
arabesque cliques youtube 3 51.78646932542324
arabesque cliques youtube 3 52.38752390444279
arabesque cliques youtube 3 53.40372809022665
arabesque cliques youtube 3 53.70876104384661
arabesque cliques youtube 3 53.70936061441898
arabesque cliques youtube 3 54.53562908619642
arabesque cliques youtube 3 55.83873963356018
arabesque cliques youtube 3 56.003021493554115
arabesque cliques youtube 3 56.41604192554951
arabesque cliques youtube 3 56.75488018989563
arabesque cliques youtube 3 56.806750759482384
