db size nthreads runtime
mico 3 1 30971
mico 3 1 30945
mico 3 1 32809
mico 3 2 17930
mico 3 2 18482
mico 3 2 16916
mico 3 3 12047
mico 3 3 12095
mico 3 3 12635
mico 3 4 9399
mico 3 4 9580
mico 3 4 9150
mico 3 5 9275
mico 3 5 7581
mico 3 5 9766
mico 3 6 7946
mico 3 6 6814
mico 3 6 6510
mico 3 7 6562
mico 3 7 6453
mico 3 7 7365
mico 3 8 5541
mico 3 8 6772
mico 3 8 6315
mico 3 9 5156
mico 3 9 5558
mico 3 9 5166
mico 3 10 6540
mico 3 10 5336
mico 3 10 5319
mico 3 11 5162
mico 3 11 5308
mico 3 11 5658
mico 3 12 4795
mico 3 12 5095
mico 3 12 4696
mico 3 13 4416
mico 3 13 4376
mico 3 13 4353
mico 3 14 4078
mico 3 14 5027
mico 3 14 4957
mico 3 15 4194
mico 3 15 3831
mico 3 15 4632
mico 3 16 3946
mico 3 16 3920
mico 3 16 4082
mico 3 17 3853
mico 3 17 4258
mico 3 17 3860
mico 3 18 3711
mico 3 18 3898
mico 3 18 3860
mico 3 19 3841
mico 3 19 3957
mico 3 19 3791
mico 3 20 3423
mico 3 20 3436
mico 3 20 3652
mico 3 21 3815
mico 3 21 3552
mico 3 21 3721
mico 3 22 3699
mico 3 22 3918
mico 3 22 3531
mico 3 23 3614
mico 3 23 2946
mico 3 23 3689
mico 3 24 3595
mico 3 24 2916
mico 3 24 2877
mico 3 25 2818
mico 3 25 2845
mico 3 25 3338
mico 3 26 3103
mico 3 26 3883
mico 3 26 3100
mico 3 27 2915
mico 3 27 2925
mico 3 27 2845
mico 3 28 2910
mico 3 28 2968
mico 3 28 2826
mico 4 1 4453802
mico 4 1 4497846
mico 4 2 2261049
mico 4 2 2299199
mico 4 2 2217594
mico 4 3 1837387
mico 4 3 1561093
mico 4 3 1490631
mico 4 4 1191695
mico 4 4 1486489
mico 4 4 1094279
mico 4 5 896373
mico 4 5 918168
mico 4 6 809694
mico 4 6 914547
mico 4 6 812158
mico 4 7 835073
mico 4 7 843525
mico 4 7 791804
mico 4 8 649468
mico 4 8 681176
mico 4 8 633522
mico 4 9 562292
mico 4 9 521713
mico 4 9 601435
mico 4 10 646710
mico 4 10 574400
mico 4 10 524661
mico 4 11 493240
mico 4 11 517721
mico 4 11 505812
mico 4 12 420871
mico 4 12 425282
mico 4 12 462823
mico 4 13 423789
mico 4 13 384429
mico 4 13 465385
mico 4 14 369433
mico 4 14 345353
mico 4 14 378265
mico 4 15 366120
mico 4 15 396785
mico 4 15 384963
mico 4 16 332870
mico 4 16 310239
mico 4 16 341991
mico 4 17 316535
mico 4 17 299089
mico 4 17 334166
mico 4 18 357256
mico 4 18 328773
mico 4 19 277999
mico 4 19 293802
mico 4 19 289040
mico 4 20 256087
mico 4 20 256529
mico 4 20 255636
mico 4 21 271593
mico 4 21 240580
mico 4 21 249863
mico 4 22 282145
mico 4 22 225379
mico 4 22 232966
mico 4 23 248186
mico 4 23 229689
mico 4 23 224091
mico 4 24 239961
mico 4 24 226120
mico 4 24 212676
mico 4 25 213658
mico 4 25 202181
mico 4 25 221185
mico 4 26 200671
mico 4 26 202200
mico 4 26 211015
mico 4 27 204360
mico 4 27 229766
mico 4 27 233946
mico 4 28 214241
mico 4 28 208379
mico 4 28 187224
