sys db size nworkers runtime

#fractal mico 3 1 173951
#fractal mico 3 1 181120
#fractal mico 3 1 210112
#fractal mico 3 2 91110
#fractal mico 3 2 96653
#fractal mico 3 2 90407
#fractal mico 3 3 64796
#fractal mico 3 3 61390
#fractal mico 3 3 61733
#fractal mico 3 4 49376
#fractal mico 3 4 50992
#fractal mico 3 4 52629
#fractal mico 3 5 41109
#fractal mico 3 5 40401
#fractal mico 3 5 39793
#fractal mico 3 6 36750
#fractal mico 3 6 37670
#fractal mico 3 6 35084
#fractal mico 3 7 30855
#fractal mico 3 7 30643
#fractal mico 3 7 28965
#fractal mico 3 8 26504
#fractal mico 3 8 29409
#fractal mico 3 8 30993
#fractal mico 3 9 26468
#fractal mico 3 9 26689
#fractal mico 3 9 26563
#fractal mico 3 10 23519
#fractal mico 3 10 23023
#fractal mico 3 10 24804

fractal mico 4 1 57396975
fractal mico 4 1 57986750
fractal mico 4 1 45288323
fractal mico 4 2 26230886
fractal mico 4 2 27376642
fractal mico 4 2 22626685
fractal mico 4 3 15983502
fractal mico 4 3 15613959
fractal mico 4 3 15457279
fractal mico 4 4 11823497
fractal mico 4 4 11675440
fractal mico 4 4 11566534
fractal mico 4 5 9289281
fractal mico 4 5 9452972
fractal mico 4 5 9698906
fractal mico 4 6 8529504
fractal mico 4 6 8711002
fractal mico 4 6 9131610
fractal mico 4 7 8914237
fractal mico 4 7 8738835
fractal mico 4 7 7782820
fractal mico 4 8 7026776
fractal mico 4 8 6480484
fractal mico 4 8 6391461
fractal mico 4 9 6571564
fractal mico 4 9 6126637
fractal mico 4 9 6610424
fractal mico 4 10 5990518
fractal mico 4 10 5567132
fractal mico 4 10 5274146

fractal youtube 3 1 3523820
fractal youtube 3 1 4026829
fractal youtube 3 1 3498443
fractal youtube 3 2 2083505
fractal youtube 3 2 1631809
fractal youtube 3 2 1966281
fractal youtube 3 3 1125074
fractal youtube 3 3 1121360
fractal youtube 3 3 1208631
fractal youtube 3 4 943029
fractal youtube 3 4 1028571
fractal youtube 3 4 1105238
fractal youtube 3 5 748776
fractal youtube 3 5 968742
fractal youtube 3 5 737069
fractal youtube 3 6 640189
fractal youtube 3 6 638642
fractal youtube 3 6 639327
fractal youtube 3 7 624161
fractal youtube 3 7 661928
fractal youtube 3 7 549786
fractal youtube 3 8 486560
fractal youtube 3 8 503070
fractal youtube 3 8 507500
fractal youtube 3 9 480183
fractal youtube 3 9 462313
fractal youtube 3 9 457539
fractal youtube 3 10 385769
fractal youtube 3 10 407538
fractal youtube 3 10 440525

fractal orkut 2 1 908373
fractal orkut 2 1 913946
fractal orkut 2 1 1092249
fractal orkut 2 2 544730
fractal orkut 2 2 544789
fractal orkut 2 2 521667
fractal orkut 2 3 433754
fractal orkut 2 3 377320
fractal orkut 2 3 366090
fractal orkut 2 4 292970
fractal orkut 2 4 326697
fractal orkut 2 4 277482
fractal orkut 2 5 279336
fractal orkut 2 5 279162
fractal orkut 2 5 273365
fractal orkut 2 6 205756
fractal orkut 2 6 250200
fractal orkut 2 6 212942
fractal orkut 2 7 216049
fractal orkut 2 7 213392
fractal orkut 2 7 185046
fractal orkut 2 8 209069
fractal orkut 2 8 199430
fractal orkut 2 8 186367
fractal orkut 2 9 205069
fractal orkut 2 9 165167
fractal orkut 2 9 181835
fractal orkut 2 10 160100
fractal orkut 2 10 150623
fractal orkut 2 10 163155

fractal patent 2 1 9610
fractal patent 2 1 9478
fractal patent 2 1 10232
fractal patent 2 2 6673
fractal patent 2 2 6933
fractal patent 2 2 7558
fractal patent 2 3 5812
fractal patent 2 3 5111
fractal patent 2 3 5281
fractal patent 2 4 5047
fractal patent 2 4 5013
fractal patent 2 4 4966
fractal patent 2 5 4605
fractal patent 2 5 5162
fractal patent 2 5 5099
fractal patent 2 6 4707
fractal patent 2 6 5084
fractal patent 2 6 5525
fractal patent 2 7 4670
fractal patent 2 7 4802
fractal patent 2 7 4493
fractal patent 2 8 4862
fractal patent 2 8 5309
fractal patent 2 8 5333
fractal patent 2 9 5377
fractal patent 2 9 5458
fractal patent 2 9 5191
fractal patent 2 10 6004
fractal patent 2 10 6402
fractal patent 2 10 6011
