# valid embeddings mico,4,0.8     62517064512
# valid embeddings youtube,3,0.5 218909854429
# valid embeddings youtube,4,0.8    975926042

db mindensity nworkers runtime
mico 0.3 1 76002
mico 0.3 2 39116
mico 0.3 3 27712
mico 0.3 4 22127
mico 0.3 5 18714
mico 0.3 6 16078
mico 0.3 7 14708
mico 0.3 8 13665
mico 0.3 9 12644

mico 0.6 1 68503
mico 0.6 2 39312
mico 0.6 3 28801
mico 0.6 4 21926
mico 0.6 5 18410
mico 0.6 6 16439
mico 0.6 7 14776
mico 0.6 8 13278
mico 0.6 9 12544

mico 0.9 1 17133
mico 0.9 2 10043
mico 0.9 3 7763
mico 0.9 4 7106
mico 0.9 5 6612
mico 0.9 6 6417
mico 0.9 7 6360
mico 0.9 8 5863
mico 0.9 9 6054
