db mindensity nworkers runtime
#mico4 0.8 1 7421000
#mico4 0.8 1 8339396
#mico4 0.8 2 3901265
#mico4 0.8 2 3925766
#mico4 0.8 3 2547791
#mico4 0.8 3 2593084
#mico4 0.8 4 1846167
#mico4 0.8 4 1936598
#mico4 0.8 5 1523713
#mico4 0.8 5 1495825
#mico4 0.8 6 1261554
#mico4 0.8 6 1275168
#mico4 0.8 7 1077641
#mico4 0.8 7 1098078
#mico4 0.8 8 927805
#mico4 0.8 8 932368
#mico4 0.8 9 831059
#mico4 0.8 9 826494

mico4 0.88 1 1214526
mico4 0.88 1 1278088
mico4 0.88 2 646075
mico4 0.88 2 631434
mico4 0.88 3 442555
mico4 0.88 3 417946
mico4 0.88 4 330587
mico4 0.88 4 322387
mico4 0.88 5 255562
mico4 0.88 5 257284
mico4 0.88 6 215517
mico4 0.88 6 211779
mico4 0.88 7 184043
mico4 0.88 7 180199
mico4 0.88 8 156905
mico4 0.88 8 161383
mico4 0.88 9 140853
mico4 0.88 9 142982

mico4 0.9 1 799992
mico4 0.9 1 804747
mico4 0.9 2 399519
mico4 0.9 2 387115
mico4 0.9 3 258832
mico4 0.9 3 267910
mico4 0.9 4 202984
mico4 0.9 4 201026
mico4 0.9 5 155818
mico4 0.9 5 157262
mico4 0.9 6 134511
mico4 0.9 6 132591
mico4 0.9 7 113591
mico4 0.9 7 111882
mico4 0.9 8 102195
mico4 0.9 8 99732
mico4 0.9 9 90113
mico4 0.9 9 89106

mico4 0.99 1 584492
mico4 0.99 1 611769
mico4 0.99 2 289858
mico4 0.99 2 301341
mico4 0.99 3 199976
mico4 0.99 3 196654
mico4 0.99 4 146783
mico4 0.99 4 150183
mico4 0.99 5 123346
mico4 0.99 5 123213
mico4 0.99 6 100337
mico4 0.99 6 99292
mico4 0.99 7 87627
mico4 0.99 7 87728
mico4 0.99 8 77232
mico4 0.99 8 77778
mico4 0.99 9 70730
mico4 0.99 9 68753
