db mindensity nworkers runtime
youtube 0.8 1 531949
youtube 0.8 1 570180
youtube 0.8 1 573392
youtube 0.8 2 300515
youtube 0.8 2 285089
youtube 0.8 2 285362
youtube 0.8 3 200157
youtube 0.8 3 205198
youtube 0.8 3 210473
youtube 0.8 4 170219
youtube 0.8 4 164784
youtube 0.8 4 162886
youtube 0.8 5 143205
youtube 0.8 5 143650
youtube 0.8 5 139721
youtube 0.8 6 122775
youtube 0.8 6 124442
youtube 0.8 6 126444
youtube 0.8 7 113286
youtube 0.8 7 117747
youtube 0.8 7 114846
youtube 0.8 8 105708
youtube 0.8 8 105807
youtube 0.8 8 107379
youtube 0.8 9 98844
youtube 0.8 9 99872
youtube 0.8 9 97587
