# valid embeddings mico,4,0.8     62517064512
# valid embeddings youtube,3,0.5 218909854429
# valid embeddings youtube,4,0.8    975926042

db mindensity nworkers runtime
#mico 0.8 1 8017240
mico 0.8 1 7388529
mico 0.8 1 7624380
mico 0.8 2 3680207
mico 0.8 2 3656813
mico 0.8 2 3821444
mico 0.8 3 2492348
mico 0.8 3 2504852
mico 0.8 3 2440925
mico 0.8 4 1961319
mico 0.8 4 1946299
mico 0.8 4 1875129
mico 0.8 5 1489290
mico 0.8 5 1501248
mico 0.8 5 1502895
mico 0.8 6 1262557
mico 0.8 6 1263028
mico 0.8 6 1250294
mico 0.8 7 1065029
mico 0.8 7 1063949
mico 0.8 7 1069558
mico 0.8 8 924725
mico 0.8 8 935178
mico 0.8 8 955793
mico 0.8 9 837645
mico 0.8 9 820011
mico 0.8 9 833232
youtube 0.8 1 531949
youtube 0.8 1 570180
youtube 0.8 1 573392
youtube 0.8 2 300515
youtube 0.8 2 285089
youtube 0.8 2 285362
youtube 0.8 3 200157
youtube 0.8 3 205198
youtube 0.8 3 210473
youtube 0.8 4 170219
youtube 0.8 4 164784
youtube 0.8 4 162886
youtube 0.8 5 143205
youtube 0.8 5 143650
youtube 0.8 5 139721
youtube 0.8 6 122775
youtube 0.8 6 124442
youtube 0.8 6 126444
youtube 0.8 7 113286
youtube 0.8 7 117747
youtube 0.8 7 114846
youtube 0.8 8 105708
youtube 0.8 8 105807
youtube 0.8 8 107379
youtube 0.8 9 98844
youtube 0.8 9 99872
youtube 0.8 9 97587
youtube-3 0.5 1 1630474
youtube-3 0.5 1 1580954
youtube-3 0.5 1 1650136
youtube-3 0.5 2 801384
youtube-3 0.5 2 786917
youtube-3 0.5 2 777966
youtube-3 0.5 3 536195
youtube-3 0.5 3 547421
youtube-3 0.5 3 551308
youtube-3 0.5 4 417800
youtube-3 0.5 4 413409
youtube-3 0.5 4 414521
youtube-3 0.5 5 348362
youtube-3 0.5 5 348879
youtube-3 0.5 5 344916
youtube-3 0.5 6 293641
youtube-3 0.5 6 293428
youtube-3 0.5 6 294890
youtube-3 0.5 7 257675
youtube-3 0.5 7 258703
youtube-3 0.5 7 253928
youtube-3 0.5 8 232274
youtube-3 0.5 8 233379
youtube-3 0.5 8 230894
youtube-3 0.5 9 213441
youtube-3 0.5 9 208167
youtube-3 0.5 9 208883
