sys depth runtime
arabesque 1 533
arabesque 2 1775
arabesque 3 8495
arabesque 4 271981
arabesque 1 627
arabesque 2 1804
arabesque 3 8862
arabesque 4 281892
arabesque 1 560
arabesque 2 1909
arabesque 3 9016
arabesque 4 290564
arabesque 1 639
arabesque 2 1767
arabesque 3 9274
arabesque 4 273392
arabesque 1 584
arabesque 2 1857
arabesque 3 9607
arabesque 4 266825
fractal 1 14114
fractal 2 15033
fractal 3 14243
fractal 4 61429
fractal 1 14296
fractal 2 14061
fractal 3 14236
fractal 4 62784
fractal 1 14689
fractal 2 14140
fractal 3 14637
fractal 4 60158
fractal 1 14310
fractal 2 14665
fractal 3 13850
fractal 4 59791
fractal 1 14129
fractal 2 14097
fractal 3 13867
fractal 4 60660
